State,EPI_Private,Platform_Private,Private_Coverage_Pct,EPI_Public,Platform_Public,Public_Coverage_Pct,EPI_Total,Platform_Total,Total_Coverage_Pct
AK,20385,17799,87.3,32000,5451,17,52385,23250,44.4
AL,78538,47316,60.2,61000,0,0,139538,47316,33.9
AR,26025,36387,139.8,19000,7,0,45025,36394,80.8
AZ,65763,41789,63.5,52000,3104,6,117763,44893,38.1
CA,1091677,897543,82.2,1283000,898582,70,2374677,1796125,75.6
CO,104024,52633,50.6,103000,23372,22.7,207024,76005,36.7
CT,113037,66021,58.4,156000,183046,117.3,269037,249067,92.6
DC,17283,17762,102.8,21000,1601844,7627.8,38283,1619606,4230.6
DE,12342,10674,86.5,25000,6063,24.3,37342,16737,44.8
FL,215919,125873,58.3,246000,172370,70.1,461919,298243,64.6
GA,88818,104173,117.3,86000,1416,1.6,174818,105589,60.4
HI,63592,36121,56.8,84000,13147,15.7,147592,49268,33.4
IA,51552,59098,114.6,41000,6756,16.5,92552,65854,71.2
ID,21445,27806,129.7,21000,0,0,42445,27806,65.5
IL,382476,385269,100.7,352000,604727,171.8,734476,989996,134.8
IN,188006,160236,85.2,82000,6931,8.5,270006,167167,61.9
KS,43261,61310,141.7,40000,1064,2.7,83261,62374,74.9
KY,117846,94923,80.5,38000,400,1.1,155846,95323,61.2
LA,34103,33586,98.5,34000,17163,50.5,68103,50749,74.5
MA,228375,160658,70.3,266000,222838,83.8,494375,383496,77.6
MD,110514,118227,107,214000,47634,22.3,324514,165861,51.1
ME,37730,7154,19,39000,31869,81.7,76730,39023,50.9
MI,402477,321906,80,178000,185564,104.2,580477,507470,87.4
MN,197917,270840,136.8,179000,201107,112.4,376917,471947,125.2
MO,147865,172455,116.6,85000,18501,21.8,232865,190956,82
MS,38530,20957,54.4,20000,40,0.2,58530,20997,35.9
MT,25863,11014,42.6,30000,25894,86.3,55863,36908,66.1
NC,63643,38693,60.8,44000,5440,12.4,107643,44133,41
ND,10265,9162,89.3,8000,35,0.4,18265,9197,50.4
NE,24504,16181,66,38000,755,2,62504,16936,27.1
NH,27381,7534,27.5,35000,10229,29.2,62381,17763,28.5
NJ,352849,202921,57.5,327000,86709,26.5,679849,289630,42.6
NM,25697,32152,125.1,37000,10294,27.8,62697,42446,67.7
NV,106416,107591,101.1,59000,10216,17.3,165416,117807,71.2
NY,781226,723855,92.7,925000,1337601,144.6,1706226,2061456,120.8
OH,351676,303364,86.3,270000,229575,85,621676,532939,85.7
OK,34430,18621,54.1,57000,495,0.9,91430,19116,20.9
OR,151290,96670,63.9,142000,135714,95.6,293290,232384,79.2
PA,344832,310114,89.9,322000,453588,140.9,666832,763702,114.5
RI,36660,30882,84.2,36000,35215,97.8,72660,66097,91
SC,26931,13124,48.7,34000,0,0,60931,13124,21.5
SD,4965,4197,84.5,7000,0,0,11965,4197,35.1
TN,78333,66565,85,57000,7487,13.1,135333,74052,54.7
TX,308806,331971,107.5,293000,22944,7.8,601806,354915,59
UT,26912,35562,132.1,31000,0,0,57912,35562,61.4
VA,84702,104435,123.3,123000,4732,3.8,207702,109167,52.6
VT,19683,4472,22.7,23000,27416,119.2,42683,31888,74.7
WA,285629,291207,102,262000,223488,85.3,547629,514695,94
WI,118440,145922,123.2,62000,14268,23,180440,160190,88.8
WV,30972,33597,108.5,30000,4999,16.7,60972,38596,63.3
WY,7136,1860,26.1,7000,373,5.3,14136,2233,15.8
,,,,,,,,,
TOTAL,7228741,6290182,87,7016000,6900463,98.4,14244741,13190645,92.6
TOTAL_EXCL_DC,7211458,6272420,87,6995000,5298619,75.7,14206458,11571039,81.4
