method,composite,avg_mae,p_gt_20pp,p_gt_30pp,mean_abs_bias,n_companies,is_v5
M5c CV-Var-Wt,10.372,4.705,0.1695,0.0582,1.605,997,False
M1c CV-Learned-Wt,10.425,4.695,0.1695,0.0602,1.554,997,False
M3c Var-Damp-IPF,10.427,4.406,0.1725,0.0682,1.224,997,False
M1e Hi-Min-Floor,10.432,4.702,0.1695,0.0602,1.555,997,False
M1b Learned-Wt,10.433,4.662,0.1695,0.0612,1.59,997,False
M3c-V5 Smooth-Var-Damp,10.586,4.605,0.1765,0.0642,1.36,997,True
M3b Damp-IPF,10.602,4.567,0.1735,0.0672,1.415,997,False
M3e-V5 Smooth-Fin-Route,10.625,4.396,0.1725,0.0742,1.202,997,True
M3e Fin-Route-IPF,10.736,4.259,0.1675,0.0822,1.659,997,False
M5e-V5 Ind-Dispatch,10.918,4.495,0.1805,0.0752,1.196,997,True
M5e Ind-Dispatch,11.007,4.352,0.1765,0.0822,1.639,997,False
M8-V5 Adaptive-Router,11.145,4.494,0.1836,0.0792,1.382,997,True
M2c ZIP-Tract,11.196,4.905,0.1866,0.0652,1.852,997,False
M2d Amp-Tract,11.205,4.891,0.1866,0.0662,1.772,997,False
M8 Adaptive-Router,11.257,4.349,0.1785,0.0873,1.889,997,False
M3f Min-Ind-Thresh,11.393,4.47,0.1846,0.0832,2.123,997,False
M1 Baseline (60/40),11.526,4.994,0.1886,0.0702,2.021,997,False
M1d Regional-Wt,11.901,5.074,0.2006,0.0712,2.155,997,False
Expert-B Tract-Heavy,11.996,5.051,0.2066,0.0722,1.904,997,True
M5d Corr-Min-Adapt,12.112,5.128,0.2036,0.0742,2.094,997,False
M4 Occ-Weighted,12.122,5.391,0.2036,0.0652,2.515,997,False
M2c-V5 PUMS-ZIP-Tract,12.133,5.213,0.2076,0.0692,2.303,997,True
M2 Three-Layer (50/30/20),12.196,5.31,0.2006,0.0712,2.543,997,False
M5 Variable-Weight,12.197,5.161,0.2006,0.0772,2.135,997,False
M3d Select-Damp,12.335,4.739,0.2207,0.0822,2.025,997,False
M4c Top10-Occ,12.488,5.451,0.2146,0.0672,2.618,997,False
Expert-A Smooth-IPF,12.625,5.562,0.2327,0.0612,1.783,997,True
M4d State-Top5,13.14,5.518,0.2307,0.0742,2.734,997,False
M4e Var-Occ-Trim,13.625,5.601,0.2397,0.0792,3.039,997,False
M3 IPF,19.996,5.942,0.342,0.1836,5.259,997,False
