local_number,local_name,city,state,address,zip,phone,website
8,Teamsters LU No 8,State College,PA,,16803,(814) 548-1429,https://www.ibtlocal8.org
31,Teamsters LU No 31,Delta BC,CN,,V3M 5S1,(604) 540-6009,https://www.teamsters31.ca
77,Teamsters LU No 77,Fort Washington,PA,,19034,(215) 542-7757,https://www.teamsters77.org
91,Teamsters LU No 91,Ottawa Ont,CN,,K1G 5T4,(613) 247-9191,https://www.teamsters91.com
106,Teamsters LU No 106,Montreal Que,CN,,H1B 5X1,(514) 645-9016,
127,Teamsters LU No 127,Milford,MA,,01757,(508) 473-0510,https://www.teamsters127.org
155,Teamsters LU No 155,Vancouver BC,CN,,V5T 1X3,(604) 876-8898,https://www.teamsters155.org
213,Teamsters LU No 213,Vancouver BC,CN,,V5T 1X3,(604) 876-5213,https://www.teamsters213.org
214,Teamsters LU No 214,Detroit,MI,,48216,(313) 962-7729,
230,Teamsters LU No 230,Markham Ont,CN,,L3R 3L4,(905) 415-5139,
237,Teamsters LU No 237,New York,NY,,10011,(212) 924-2000,https://www.local237.org
320,Teamsters LU No 320,Minneapolis,MN,,55414,(612) 378-8700,https://www.teamsterslocal320.org
362,Teamsters LU No 362,Calgary Alb,CN,,T2H 2C9,(403) 259-4608,https://www.teamsters362.com
395,Teamsters LU No 395,Saskatoon,CN,,S7L 5Z5,(306) 382-7868,
419,Teamsters LU No 419,Mississauga Ont,CN,,L5T 1B4,(905) 670-4190,https://www.teamsters419.ca
464,Teamsters LU No 464,Vancouver  BC,CN,,V5T 1X3,(604) 876-6464,https://www.teamsters464.org
502,Teamsters LU No 502,Philadelphia,PA,,19123,(215) 236-7222,https://www.local502casa.org
555,Teamsters LU No 555,"Montreal, Quebec",Quebec,,H2B 1H7,(514) 391-9131,
647,Teamsters LU No 647,"Mississauga, Ont",CN,,L5T 2E1,(905) 760-0209,https://www.teamsterslocal647.ca
700,Teamsters LU No 700,Lombard,IL,,60148,(847) 939-9700,https://www.teamsterslocal700.com
831,Teamsters LU No 831,New York,NY,,10038,(212) 964-8900,
847,Teamsters LU No 847,"Mississauga, Ont",CN,,L4Z 1X1,(905) 502-8895,
855,Teamsters LU No 855,St. John's Nwfndlnd,CN,,A1C 5N8,(709) 579-5706,
879,Teamsters LU No 879,Stoney Creek Ont,CN,,L8E 6A2,(905) 547-3231,
927,Teamsters LU No 927,"Dartmouth, N.Scotia",CN,,B3B 1P7,(902) 445-5301,https://www.teamsters927.com
931,Teamsters LU No 931,Montreal  Que,CN,,H1B5X1,(514) 645-2500,
938,Teamsters LU No 938,Mississauga Ont,CN,,L4Z 1X8,(905) 502-0062,https://www.teamsters938.org
979,Teamsters LU No 979,Winnipeg Man,CN,,R3H 1A8,(204) 694-9798,
987,Teamsters LU No 987,Calgary Alb,CN,,T2H 1Z7,(403) 252-7843,https://www.teamsters987.com
1699,Teamsters LU No 1699,La Mesa,CA,,91942,(619) 697-5099,
1979,Teamsters LU No 1979,Pickering Ont,CN,,L1W 3V4,(905) 426-1212,
1999,Teamsters LU No 1999,Montreal Que,CN,,H1J 1T4,(514) 355-1110,https://www.teamstersquebec1999.com
