local_number,union_name,city,state,members,f_num,yr_covered
1,TEAMSTERS,STATEN ISLAND,NY,0,547227,2024
7,TEAMSTERS,KALAMAZOO,MI,1054,19535,2018
36,TEAMSTERS,SAN DIEGO,CA,1080,35343,2015
40,TEAMSTERS,MANSFIELD,OH,337,1809,2024
43,TEAMSTERS,RACINE,WI,598,21917,2014
51,TEAMSTERS,DETROIT,MI,463,37873,2015
67,TEAMSTERS,WASHINGTON,DC,0,26592,2014
82,TEAMSTERS,CHARLESTOWN,MA,474,51840,2011
101,TEAMSTERS,Richmond,VA,331,67240,2024
102,TEAMSTERS,SPRINGFIELD,NJ,0,28724,2017
111,TEAMSTERS,RAHWAY,NJ,1702,5375,2012
114,TEAMSTERS,Cincinnati,OH,575,37069,2024
119,TEAMSTERS,SOUTHAVEN,TN,0,521551,2014
126,TEAMSTERS,WASHINGTON,DC,0,27370,2024
145,TEAMSTERS,BRIDGEPORT,CT,637,40388,2024
160,TEAMSTERS,ROCHESTER,MN,0,46090,2017
164,TEAMSTERS,DETROIT,MI,866,33285,2014
182,TEAMSTERS,UTICA,NY,1338,13876,2014
217,TEAMSTERS,JACKSON,TN,284,513079,2014
244,TEAMSTERS,VALLEY VIEW,OH,0,19782,2017
259,TEAMSTERS,Boston,MA,193,10214,2016
279,TEAMSTERS,SPRINGFIELD,IL,591,9315,2016
311,TEAMSTERS,BALTIMORE,MD,1420,9225,2015
312,TEAMSTERS,CHESTER,PA,0,4079,2020
336,TEAMSTERS,INDEPENDENCE,OH,423,43009,2014
347,TEAMSTERS,BELLEVILLE,IL,0,14298,2014
372,TEAMSTERS,DETROIT,MI,793,21376,2017
375,TEAMSTERS,BUFFALO,NY,1078,5014,2013
381,TEAMSTERS,SO EL MONTE,CA,1210,33659,2012
416,TEAMSTERS,CLEVELAND,OH,471,16339,2025
473,TEAMSTERS,VALLEY VIEW,OH,350,38241,2025
483,TEAMSTERS,BOISE,ID,0,41134,2025
486,TEAMSTERS,GRAND RAPIDS,MI,2449,23984,2013
505,TEAMSTERS,HUNTINGTON,WV,3270,35252,2012
510,TEAMSTERS,ORRVILLE,OH,462,66032,2010
513,TEAMSTERS,WASHINGTON,DC,0,542514,2013
523,TEAMSTERS,TULSA,OK,368,33164,2019
550,TEAMSTERS,NEW HYDE PARK,NY,0,22889,2013
559,TEAMSTERS,SOUTH WINDSOR,CT,828,42034,2019
580,TEAMSTERS,LANSING,MI,1308,34130,2015
584,TEAMSTERS,NEW YORK,NY,1330,12619,2014
601,TEAMSTERS,STOCKTON,CA,0,39153,2019
624,TEAMSTERS,SANTA ROSA,CA,1566,41930,2011
661,TEAMSTERS,CINCINATTI,OH,289,27451,2010
669,TEAMSTERS,ALBANY,NY,750,22454,2012
677,TEAMSTERS,CHESHIRE,CT,0,24410,2023
693,TEAMSTERS,BINGHAMTON,NY,1067,24316,2014
695,TEAMSTERS,MADISON,WI,0,7112,2024
706,TEAMSTERS,PARK RIDGE,IL,203,17041,2011
716,TEAMSTERS,INDIANAPOLIS,IN,734,37849,2015
744,TEAMSTERS,CHICAGO,IL,0,35460,2011
749,TEAMSTERS,SIOUX FALLS,SD,1143,37087,2010
752,TEAMSTERS,PHOENIX,AZ,24,28309,2021
754,TEAMSTERS,ELMHURST,IL,0,21374,2018
805,TEAMSTERS,LONG ISLAND CITY,NY,1105,1507,2015
807,TEAMSTERS,NEW YORK,NY,1536,6300,2021
837,TEAMSTERS,PHILADELPHIA,PA,655,62580,2012
851,TEAMSTERS,VALLEY STREAM,NY,353,68051,2010
854,TEAMSTERS,BALDWIN,NY,0,22672,2013
888,TEAMSTERS,BALTIMORE,MD,47,35800,2021
911,TEAMSTERS,BELLFLOWER,CA,0,507181,2025
912,TEAMSTERS,WATSONVILLE,CA,0,1263,2021
961,TEAMSTERS,DENVER,CO,3168,1347,2010
966,TEAMSTERS,HACKENSACK,NJ,0,67314,2024
968,TEAMSTERS,HOUSTON,TX,1432,32876,2015
984,TEAMSTERS,MEMPHIS,TN,1099,37480,2018
992,TEAMSTERS,HAGERSTOWN,MD,0,14787,2025
995,TEAMSTERS,SO. EL MONTE,CA,2744,66774,2014
997,TEAMSTERS,FORT WORTH,TX,0,504930,2025
1100,TEAMSTERS,WASHINGTON,DC,0,519012,2025
1108,TEAMSTERS,WASHINGTON,DC,0,543345,2018
1145,TEAMSTERS,MINNEAPOLIS,MN,0,36342,2025
1164,TEAMSTERS,CLEVELAND,OH,387,35241,2024
1196,TEAMSTERS,MEMPHIS,TN,0,35036,2012
1414,TEAMSTERS,PHILADELPHIA,PA,713,5004,2017
1717,TEAMSTERS,CINCINNATI,OH,0,37515,2013
2001,TEAMSTERS,Indianapolis,IN,67,517849,2021
2011,TEAMSTERS,Riverview,FL,4203,544872,2016
2024,TEAMSTERS,DETROIT,MI,0,547206,2024
